Designator,Mid X,Mid Y,Rotation,Layer,Footprint,Val
J3,119.700000,-115.320000,0.000000,top,Micro_USB_B_Female,~
R1,130.810000,-81.280000,180.000000,top,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,330R
R2,146.176246,-89.079071,90.000000,top,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,270R
R3,167.640000,-91.440000,90.000000,top,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,270R
R4,150.840032,-78.861002,-90.000000,top,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,330R
Sys1_Conn1,114.485068,-81.280000,0.000000,top,PinHeader_1x04_P2.54mm_Vertical,~
Sys2_Conn1,172.720000,-85.090000,0.000000,top,PinHeader_1x03_P2.54mm_Vertical,~
U2,155.551400,-81.280000,0.000000,top,DIP-6_W7.62mm,H11L1
U3,134.620000,-81.280000,0.000000,top,DIP-6_W7.62mm,H11L1
U4,121.920000,-91.440000,0.000000,top,DIP-14_W7.62mm_Socket,74HC04
U5,148.705757,-112.851309,0.000000,top,PCB Dual MOS Driver Module,~
